"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"20a9c4751ed251e3c0f35a775d46c080075382d8","   8830","Anatidae","family","0.9130","Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"d9d02206537e8133d653947016d2dd4e6de63cc8","      1","root","no rank","1.0000","","","","","","",""
"26bb3e8f98369d243b1bdf2572ec27140e21ecf0"," 338152","Felinae","subfamily","0.9868","Metazoa","Chordata","Mammalia","Carnivora","Felidae","",""
"35e334311044348b8d39fb275ce94e11c2cf361d","   9126","Passeriformes","order","0.9922","Metazoa","Chordata","Aves","Passeriformes","","",""
"27be7981df00db99c81810189ca1c2e675e49b56","   9347","Eutheria","clade","0.9996","Metazoa","Chordata","Mammalia","","","",""
"331c8a92b593e743348bc1a05ed5afcd32bd3629","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"f49ae8c6819abdfd33d13f2b07c6fcbbc25ee4f0","   9681","Felidae","family","0.9999","Metazoa","Chordata","Mammalia","Carnivora","Felidae","",""
"5a0bf4e02110d583219747cc3104762989ebb988","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"536df3909847a2f0b1d81374f0026c8506a7a4b9"," 337752","Sciurini","tribe","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"dead14ef013dbe8e1efc3d2159147ca778096b2a","   9606","Homo sapiens","species","0.9983","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"c357545a3ed4f0e6fa295a3e09de5c1e39ab6b15"," 126287","Didelphinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"76ac1bfec9d7e882c14059fd9077b3978521b7fa","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"eeddfa2e42b10ff321a766ff4386c40c21ce5b03"," 338152","Felinae","subfamily","0.9870","Metazoa","Chordata","Mammalia","Carnivora","Felidae","",""
"6d7a36800c44bc61533fdba2e215c4063ec0b60a"," 504568","Salmoninae","subfamily","0.9541","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"15f3627d0db69684de58d52057f46c5796ded7b1"," 338152","Felinae","subfamily","0.9868","Metazoa","Chordata","Mammalia","Carnivora","Felidae","",""
"d8804f535ddcada3535b64a5ba8867826148fd6a"," 126287","Didelphinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"574dbd9e4cd1a1d09d4724384443b7cddd9628dc"," 126287","Didelphinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"2032caaaeded219e545a4b06d5d32a07badb5467","   9606","Homo sapiens","species","0.9976","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"9271b268bbf39ef6d05c851c02b0470a717e7ed7","  32523","Tetrapoda","clade","1.0000","Metazoa","Chordata","","","","",""
"fd3fb1e27d083746dc6351e9c26fe58e3020bb3f","   8899","Ardeidae","family","0.9950","Metazoa","Chordata","Aves","Pelecaniformes","Ardeidae","",""
"90c886b6ef453237f97ebdee160ff76672e4138a","   8830","Anatidae","family","0.9964","Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"777f3e6cd7956fbf5dd0933dbccd7d8289816cb6","   9347","Eutheria","clade","0.9575","Metazoa","Chordata","Mammalia","","","",""
"c66f231c24d88ba0eb1c1ad9dce87c1d97a576ff","   9606","Homo sapiens","species","0.9983","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"51ff9ecfc5f5207643305be07e6861e8d450cfca","  33213","Bilateria","clade","0.9497","Metazoa","","","","","",""
"35b81f4b40229b16876e05e702d63559432dd4c9","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"15465fcc6bcff2c21ed0bc983e64ac8f100c7c3a"," 337963","Neotominae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"c504c0e46cc73088d60a8306ac6b7247528b132b"," 337752","Sciurini","tribe","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"cdb2c5f15d8a1b662ea77b3c39b1ee2b65b8d71c"," 117571","Euteleostomi","clade","0.9910","Metazoa","Chordata","","","","",""
"0b51bc7b3cc49e6cc103f0ba6b58dab987acc0c6","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"6dc500acf0004bdeb76e80a1aa254d43c22da8e2"," 338152","Felinae","subfamily","0.9860","Metazoa","Chordata","Mammalia","Carnivora","Felidae","",""
"b47fe480c14fc56c688a9254c9c9adcbbb999812","   9823","Sus scrofa","species","0.9993","Metazoa","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"1e016e2b4da5cfe82d08c8e2f2bfd52ace645797","   9606","Homo sapiens","species","0.9957","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"8a1dba5609f1508c2253219d2c1ff66a3215f7bc","   8899","Ardeidae","family","0.9996","Metazoa","Chordata","Aves","Pelecaniformes","Ardeidae","",""
"7881740d72570adf895d2a18ae643e1dbfddbd4e"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"c3a0220726ec4f428ae4ba83d8ac85812c3dc873","   9606","Homo sapiens","species","0.9936","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
