"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"e0c89034ecaf7122c96274463a2b06bb5481fe81","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"5d7c0fd03f7477940fe7d482a19760ff39e4c218","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"7815bf625746ac24281eaef910755249925b85bb","   9347","Eutheria","clade","0.9986","Metazoa","Chordata","Mammalia","","","",""
"5433f97dacc41c9aa19cc32f05d56ea55e977527"," 400782","Parulidae","family","1.0000","Metazoa","Chordata","Aves","Passeriformes","Parulidae","",""
"b2f661f31304fe6feee084a057ea13ec2420b907","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"418d5ed20b679f800b258f567825c92d012bc96e"," 175121","Passeroidea","superfamily","1.0000","Metazoa","Chordata","Aves","Passeriformes","","",""
"ddf5d8f01c176ab003be35dd8935dab512bf36c1","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"23c619d6fffd998ebd33fc4a32feda91287ea49e","  55153","Sciuridae","family","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"6a35218e459a114a826367aa51abaa6b2f76c29c","   9126","Passeriformes","order","1.0000","Metazoa","Chordata","Aves","Passeriformes","","",""
"cbea89e7bbc9bfdb02490637867daa868cd954b5","   8825","Neognathae","infraclass","0.9963","Metazoa","Chordata","Aves","","","",""
"199e257a656754c51df04d3fccc696275d10a201","  30962","Oncorhynchus clarkii","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii"
"463312ae7997cdb95afe8a160de855700aeb90fa","1437010","Boreoeutheria","clade","0.9998","Metazoa","Chordata","Mammalia","","","",""
"da5cff23fd7cf983b898b6dcf43c12f74f3db6eb","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"de99103917cdf896c2129bcee3ed6d3f61b0fa94","   8899","Ardeidae","family","0.9968","Metazoa","Chordata","Aves","Pelecaniformes","Ardeidae","",""
"f68605c5b3d4a3255c6996ea029fcd0dd0e0e06a","   9881","Odocoileinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae","",""
"7c3a071d9b4e988f7367ae8ae7bf3ada64fdd9af","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"5a7e5ebe5d3d6d76de3044040dccd1ab3d048894","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"09c6e1785ec090a52b290777a5058509454bf61f","      1","root","no rank","1.0000","","","","","","",""
"bc518f5a3005e3a0317f27d323ab820ac48d3b39","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"be929d59f95212d097434e07dd025e90b78d2b90","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"ee10a57b8e892ee72bf167c0efd0a15ec40cd488","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"9dfabbefbf93cd0979d9f4ea70d3f549b7019c43","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"2435eb1079be3ac735d5301e934ec881cf409ceb","   9153","Paridae","family","1.0000","Metazoa","Chordata","Aves","Passeriformes","Paridae","",""
"57782f3141e2b0735a42a18a60a39111a839ded5"," 126287","Didelphinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"dc78ea7000749cdaa33f9199c52df6f0f90be099","   9126","Passeriformes","order","0.9012","Metazoa","Chordata","Aves","Passeriformes","","",""
"44b53fea30aa9987f92b5bcec6fdfdba70f74431"," 337752","Sciurini","tribe","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
