"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"dbd8645a7872cb999b66643b21f4caaa0510fa9d","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"fa65daba1e94d3eea62ec8f7939f85e909ba4a40","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"b9f83173a57aac809296e3be7c9c3b1a7c0fe906","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"75c17069dec9e881fa095f11325e7ec87bf8e4ec","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"67142a3f202801e1647605c87062ab6e367b3851","   9373","Talpidae","family","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Talpidae","",""
"b0e778ba902e056d81b775e7e182f54f53c9d095","   9611","Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"78a0e732bbdec6d5729e0755c9f244eff500eefe","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"a11d0089839f09496a77b452a4028bf0aa1a2c77","      1","root","no rank","1.0000","","","","","","",""
"6d4de90aa787de91eb2aff0751b74559d9a8295f","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"54ea1996aa1b522c2ad1b32e0d644f8a0bb3cc51","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"b73c048b4db4458c563799a4512860f4bdf1f184","  55153","Sciuridae","family","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"a8086393c8bbff38f951a406d1587687f74a7886","  33213","Bilateria","clade",NA,"Metazoa","","","","","",""
"a7517d5f93621c76c69106131eab915faa19f6b4","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"92555313cf82b06486928db6fe5c5a10799588d0","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"da06cc7425959377cdd0ea7eff614da7311fe5b3","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"74071e5b82913bbafb6970ef86d984798bbc8745","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"46515a5f7e2bca1c6e6d94b7b464337cabfb9804","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"fd53ccabd820210ffe893500ab57968fe2bf3e78","   9913","Bos taurus","species",NA,"Metazoa","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus"
"f165a0f6c73a2be85b6b5503df3e9dd6973002eb"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"54ede9cb45cc58cb41be2b4cede32f7b3ce71137","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"373cc92952f5336109f6330f59643721fdf66c4f"," 504568","Salmoninae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"ef7532ab6dc95c5893a7ae343192a9a2e598a322","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"f8b43c6bd2a56ffb668422cba4b955d498f9c664","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"740c378e277181351b28591e13ea62ddfd7cdb81","   8855","Cairina moschata","species",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","Cairina","Cairina moschata"
"d55932e82b81b93f54a252eae74f3a78770002b7"," 337752","Sciurini","tribe","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"488da0b8f8367f4e21424a134bf86b3db7d09319"," 183663","Soricinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
