Sequencing.run,Sample_name,Sample_ID,Locus,Index.Set,Index.number,i7_Index_Name,i5_Index_Name,Well,Month.year,Creek,Station,Bio.rep,Dilution.factor,Type,rc
8,NGN0790,MiFish.0222.2Brn.Up.2,MiFish,B,143,UDP0143,UDP0143,,222,2Brn,Up,2,,,0
8,NGN0791,MiFish.0222.2Brn.Up.3,MiFish,B,144,UDP0144,UDP0144,,222,2Brn,Up,3,,,0
8,NGN0792,MiFish.0222.4Pad.Dn.3,MiFish,B,145,UDP0145,UDP0145,,222,4Pad,Dn,3,,,0
8,NGN0793,MiFish.0222.4Pad.Up5.3,MiFish,B,146,UDP0146,UDP0146,,222,4Pad,Up5,3,,,0
8,NGN0794,MiFish.0222.5Sqm.Dn.3,MiFish,B,147,UDP0147,UDP0147,,222,5Sqm,Dn,3,,,0
8,NGN0795,MiFish.0222.5Sqm.Up.2,MiFish,B,148,UDP0148,UDP0148,,222,5Sqm,Up,2,,,0
8,NGN0796,MiFish.Kangaroo,MiFish,B,149,UDP0149,UDP0149,,Kangaroo,Kangaroo,Kangaroo,Kangaroo,,,
8,NGN0797,COI.0921.2Brn.Up.1,COI,B,150,UDP0150,UDP0150,,921,2Brn,Up,1,,,0
8,NGN0798,COI.0921.2Brn.Up.2,COI,B,151,UDP0151,UDP0151,,921,2Brn,Up,2,,,0
8,NGN0799,COI.0921.3Chk.Dn.2,COI,B,152,UDP0152,UDP0152,,921,3Chk,Dn,2,,,0
8,NGN0800,COI.0921.3Chk.Up.2,COI,B,153,UDP0153,UDP0153,,921,3Chk,Up,2,,,0
8,NGN0801,COI.0921.3Chk.Up.3,COI,B,154,UDP0154,UDP0154,,921,3Chk,Up,3,,,0
8,NGN0802,COI.0921.4Pad.Dn.3,COI,B,155,UDP0155,UDP0155,,921,4Pad,Dn,3,,,0
8,NGN0803,COI.0921.4Pad.Up11.2,COI,B,156,UDP0156,UDP0156,,921,4Pad,Up11,2,,,0
8,NGN0804,COI.1021.1Prt.Up.1,COI,B,157,UDP0157,UDP0157,,1021,1Prt,Up,1,,,0
8,NGN0805,COI.1021.2Brn.Up.3,COI,B,158,UDP0158,UDP0158,,1021,2Brn,Up,3,,,0
8,NGN0806,COI.1021.3Chk.Dn.2,COI,B,159,UDP0159,UDP0159,,1021,3Chk,Dn,2,,,0
8,NGN0807,COI.1021.4Pad.Up11.2,COI,B,160,UDP0160,UDP0160,,1021,4Pad,Up11,2,,,0
8,NGN0808,COI.1021.4Pad.Up11.3,COI,B,161,UDP0161,UDP0161,,1021,4Pad,Up11,3,,,0
8,NGN0809,COI.1021.5Sqm.Dn.2,COI,B,162,UDP0162,UDP0162,,1021,5Sqm,Dn,2,,,0
8,NGN0810,COI.1121.1Prt.Dn.3,COI,B,163,UDP0163,UDP0163,,1121,1Prt,Dn,3,,,0
8,NGN0811,COI.1121.3Chk.Dn.2,COI,B,164,UDP0164,UDP0164,,1121,3Chk,Dn,2,,,0
8,NGN0812,COI.1121.3Chk.Dn.3,COI,B,165,UDP0165,UDP0165,,1121,3Chk,Dn,3,,,0
8,NGN0813,COI.1121.3Chk.Up.1,COI,B,166,UDP0166,UDP0166,,1121,3Chk,Up,1,,,0
8,NGN0814,COI.1121.3Chk.Up.2,COI,B,167,UDP0167,UDP0167,,1121,3Chk,Up,2,,,0
8,NGN0815,COI.1121.4Pad.Dn.1,COI,B,168,UDP0168,UDP0168,,1121,4Pad,Dn,1,,,0
8,NGN0816,COI.1121.4Pad.Dn.2,COI,B,169,UDP0169,UDP0169,,1121,4Pad,Dn,2,,,0
8,NGN0817,COI.1121.4Pad.Up11.1,COI,B,170,UDP0170,UDP0170,,1121,4Pad,Up11,1,,,0
8,NGN0818,COI.1121.4Pad.Up5.3,COI,B,171,UDP0171,UDP0171,,1121,4Pad,Up5,3,,,0
8,NGN0819,COI.1121.5Sqm.Up.1,COI,B,172,UDP0172,UDP0172,,1121,5Sqm,Up,1,,,0
8,NGN0820,COI.1221.2Brn.Dn.1,COI,B,173,UDP0173,UDP0173,,1221,2Brn,Dn,1,,,0
8,NGN0821,COI.1221.2Brn.Dn.2,COI,B,174,UDP0174,UDP0174,,1221,2Brn,Dn,2,,,0
8,NGN0822,COI.1221.2Brn.Dn.3,COI,B,175,UDP0175,UDP0175,,1221,2Brn,Dn,3,,,0
8,NGN0823,COI.1221.3Chk.Dn.3,COI,B,176,UDP0176,UDP0176,,1221,3Chk,Dn,3,,,0
8,NGN0824,COI.1221.3Chk.Up.1,COI,B,177,UDP0177,UDP0177,,1221,3Chk,Up,1,,,0
8,NGN0825,COI.1221.3Chk.Up.2,COI,B,178,UDP0178,UDP0178,,1221,3Chk,Up,2,,,0
8,NGN0826,COI.1221.4Pad.Dn.1,COI,B,179,UDP0179,UDP0179,,1221,4Pad,Dn,1,,,0
