"","qseqid","sscinames"
"96","8c3ad99ab8ca092bf8f37f3e20ee0113910b59ad","Mammuthus primigenius"
"97","021c4f133bb6a2b0495d45f1e9362e1fa5ad692c","Mammuthus primigenius"
"98","5829bcd703f2a9e5ea2e6c6947852877cd19a983","Mammuthus primigenius"
"99","a4fd3497e5b0035bfd2414722df4e5763df7dfd5","Castor fiber"
"100","86fd2f0782c101d951f36091d176b1dd68ef8de1","Mammuthus primigenius"
"101","69a025b9d94f7eded4ba01e8cfddfcb1be6733f0","Mammuthus primigenius"
"102","506fb2e0def25a2321a006582264115453eaf867","Castor fiber"
"103","20ace1da6aaf7efc54e5be3c96d713bc71238ac4","Mammuthus primigenius"
"104","7c7d158cdaf60b6e834577eaa341989d2f3a1697","Aplodontia rufa"
"105","8b14c93f1397b9332dad055f0a0fc595f3646681","Cottus poecilopus"
"106","d84391b013a0c0b0f0e588766fb6a2f47f8bc81c","Turdus abyssinicus"
"107","0a3f5fde1bbb570e4705a194d016c59a57f82481","Cottus poecilopus"
"108","139ff38d8eb60547dba8a13573cc4d1939382544","Pyrrhocorax pyrrhocorax"
"109","2435eb1079be3ac735d5301e934ec881cf409ceb","Sittiparus varius namiyei"
"110","3a6a9122e22ef8cce1f5cb1d9da6fda8b3a157ef","Etropus microstomus"
"111","1a9fcb6105fadfcc2f4feac8875ffef8da6db3c2","Etropus microstomus"
"112","9592a4ab6453a677ba409de61ccd9ceb9627d20a","Etropus microstomus"
"113","d3a973efbba962488ffbf56a5faaec76ad1925a8","Sardinops sagax"
"114","2888591f23daf76ef3ae53a7d4bd6ffe13361bb8","Ondatra zibethicus"
"115","1c6d757a385993942374fd4c94f562e4dda52ae5","Cottus gobio"
"116","762874ae34a100fa6212e778b2265633b7113596","Ploceus ocularis"
"117","6f93809b6bc63b61b0d350733addd08a6ab86f2e","Ardea purpurea"
"118","6d2015bef5f47452896ebee8aca282525a742131","Dinornis robustus"
"119","3790a41fc458cb2fa0b80e27a79405121163ae49","Puma concolor"
"120","a8ee646c188b0c06c77f16e89f7e4223df1b3ce1","Sebastes wakiyai"
"121","6839f85e5feb0227a9953db6121f0e84161b366e","Rhinoraja longicauda;Bathyraja trachouros"
"122","9c53d265314cb79ca072a5a4cb53a03c99a125c6","Dinornis robustus"
"123","aa5818327c00eebaf0a1d977dfaac7e0c643c622","Piranga leucoptera"
"124","cce45cc7e4ea0594ae1859ee98f0420718bcd348","Bos taurus"
"125","01b6f154e9e1c96526482c6b443345d5ebd792d1","Sebastes wakiyai"
"126","e1f7fb69621f3a27b6001ae4f8b810904c8d33c9","Dinornis robustus"
"127","df3ec2d9d2b8a387a2af461f6c1fbc7b7feb2458","Dinornis robustus"
"128","905f024774cb9552a4d8e59beb7f1988a4b179d3","Oncorhynchus nerka"
"129","c2695d603e8149b61b7a32bc7919e5ee5e76fd12","Sebastes wakiyai"
"130","afb6e29d578074f7a4ffe420bed62b2babbaa2c1","Potorous platyops"
"131","9becf343f91982b014f8358523d56ec9a84ca816","Dinornis robustus"
"132","418d5ed20b679f800b258f567825c92d012bc96e","Setophaga kirtlandii"
"133","86904fc1afb4f55eae3ffb07ed5b27b59ce1da30","Pleuronichthys ritteri"
"134","3db492f4716a04f894bceb195ec2df6c0ff627ce","Protemnodon anak"
"135","73edb32200ba1f33d346e66c58616dc202c26308","Icelus spatula"
"136","7cbe946625f416ad59615f0ddca7884268f33de2","Troglodytes troglodytes mosukei"
"137","532b5d019a513a17bc04b6bfb52d115753882531","Cottus cognatus"
"138","83c42f6788444d029728771c178933a1212c25d8","Puma concolor"
"139","f89061c8852671127f3503aebcf7095032b639ad","Ploceus ocularis"
"140","1a49f11fcb4d876f9b04aebbdae6602f8586ecc9","Oncorhynchus nerka"
"141","7eb7b85cd4d1267b7272d76ac7a008e3a7172c93","Philander opossum"
"142","0cedfc21bdbe73715c943f7f8275d466e7d43510","Philander opossum"
"143","609119e3364be9a488f1610825ea1a7ac3f58db4","uncultured cyanobacterium"
"144","b7eb26b7d6175fd0cce928f0eb09e965e81ce57d","Cottus cognatus"
"145","605c4124d237cd25c388d32a579e0f0c79e2c9b0","Sus scrofa"
"146","4d4b96470d39566a301dcc9a878b9fd0242e9a4a","Virgulinella fragilis"
"147","e66e4274b898d1c8c4cf6c4eecbab4f1b879539f","Philander opossum"
"148","56d172ac9efc487235f92ec4bb30e3e0db90c455","Semicossyphus pulcher"
"149","44788d7e28fa3d930d177785be4b0d41d52862db","Petrogale xanthopus"
"150","4d3109e36add08577354734af4761da885f89d23","Argyrosomus japonicus"
"151","75bf5f3e496068cc6f1cca4fe1f1a2cfccdf67fe","Prionailurus planiceps"
"152","3bc3b53cba4c0d3e566ffa796e6bf6e266f287bb","Oncorhynchus nerka"
"153","ae77d606e4c5ac9df86c065675561e34625cfb7e","Cottus poecilopus"
"154","5dad482c4f8c82126a27aac2bb8be9c3a8ff4bde","Oncorhynchus nerka"
