"Sample_name","class","species","tot"
"MiMammal.0321.5Sqm.Dn.2","Actinopteri","Pimephales promelas",256
"MiMammal.0321.5Sqm.Dn.2","Aves","Melospiza melodia",648
"MiMammal.0321.5Sqm.Dn.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",3
"MiMammal.0321.5Sqm.Dn.3","Actinopteri","Ameiurus nebulosus",439
"MiMammal.0321.5Sqm.Dn.3","Actinopteri","Oncorhynchus clarkii",322
"MiMammal.0321.5Sqm.Dn.3","Actinopteri","Pimephales promelas",196
"MiMammal.0321.5Sqm.Dn.3","Mammalia","Sus scrofa",1012
"MiMammal.0321.5Sqm.Up.1","Actinopteri","Ameiurus nebulosus",2322
"MiMammal.0321.5Sqm.Up.1","Actinopteri","Oncorhynchus clarkii",1414
"MiMammal.0321.5Sqm.Up.1","Actinopteri","Pimephales promelas",1087
"MiMammal.0321.5Sqm.Up.1","Aves","Branta canadensis",1777
"MiMammal.0321.5Sqm.Up.1","Aves","Melospiza melodia",12090
"MiMammal.0321.5Sqm.Up.1","Mammalia","Didelphis virginiana",4201
"MiMammal.0321.5Sqm.Up.2","Actinopteri","Oncorhynchus clarkii",3505
"MiMammal.0321.5Sqm.Up.2","Actinopteri","Oncorhynchus kisutch",2485
"MiMammal.0321.5Sqm.Up.2","Actinopteri","Oncorhynchus mykiss",494
"MiMammal.0321.5Sqm.Up.2","Actinopteri","Pimephales promelas",4914
"MiMammal.0321.5Sqm.Up.2","Aves","Melospiza melodia",9001
"MiMammal.0321.5Sqm.Up.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",993
"MiMammal.0321.5Sqm.Up.2","Mammalia","Sus scrofa",1872
"MiMammal.0321.5Sqm.Up.3","Actinopteri","Oncorhynchus clarkii",612
"MiMammal.0321.5Sqm.Up.3","Actinopteri","Oncorhynchus mykiss",32
"MiMammal.0321.5Sqm.Up.3","Actinopteri","Pimephales promelas",230
"MiMammal.0321.5Sqm.Up.3","Aves","Branta canadensis",337
"MiMammal.0321.5Sqm.Up.3","Mammalia","Canis lupus",407
"MiMammal.0421.1Prt.Dn.1","Actinopteri","Oncorhynchus clarkii",995
"MiMammal.0421.1Prt.Dn.1","Actinopteri","Oncorhynchus kisutch",862
"MiMammal.0421.1Prt.Dn.1","Aves","Melospiza melodia",94
"MiMammal.0421.1Prt.Dn.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",10
"MiMammal.0421.1Prt.Dn.1","Mammalia","Felis catus",1131
"MiMammal.0421.1Prt.Dn.2","Actinopteri","Oncorhynchus clarkii",867
"MiMammal.0421.1Prt.Dn.2","Actinopteri","Oncorhynchus kisutch",1209
"MiMammal.0421.1Prt.Dn.2","Aves","Aix sponsa",13
"MiMammal.0421.1Prt.Dn.2","Aves","Tachycineta thalassina",41
"MiMammal.0421.1Prt.Dn.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",55
"MiMammal.0421.1Prt.Dn.2","Mammalia","Didelphis virginiana",2004
"MiMammal.0421.1Prt.Dn.2","Mammalia","Lynx rufus",14
"MiMammal.0421.1Prt.Dn.3","Actinopteri","Oncorhynchus clarkii",5172
"MiMammal.0421.1Prt.Dn.3","Actinopteri","Oncorhynchus kisutch",4322
"MiMammal.0421.1Prt.Dn.3","Aves","Aix sponsa",264
"MiMammal.0421.1Prt.Dn.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",519
"MiMammal.0421.1Prt.Dn.3","Mammalia","Didelphis virginiana",13663
"MiMammal.0421.1Prt.Up.1","Actinopteri","Oncorhynchus clarkii",6284
"MiMammal.0421.1Prt.Up.1","Actinopteri","Oncorhynchus kisutch",6554
"MiMammal.0421.1Prt.Up.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",20
"MiMammal.0421.1Prt.Up.1","Mammalia","Didelphis virginiana",12063
"MiMammal.0421.1Prt.Up.2","Actinopteri","Oncorhynchus clarkii",8569
"MiMammal.0421.1Prt.Up.2","Actinopteri","Oncorhynchus kisutch",3584
"MiMammal.0421.1Prt.Up.2","Aves","Aix sponsa",118
"MiMammal.0421.1Prt.Up.2","Aves","Haemorhous mexicanus",2689
"MiMammal.0421.1Prt.Up.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",60
"MiMammal.0421.1Prt.Up.2","Mammalia","Didelphis virginiana",12079
"MiMammal.0421.1Prt.Up.3","Actinopteri","Oncorhynchus clarkii",1487
"MiMammal.0421.1Prt.Up.3","Actinopteri","Oncorhynchus kisutch",1264
"MiMammal.0421.1Prt.Up.3","Aves","Aix sponsa",342
"MiMammal.0421.1Prt.Up.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",582
"MiMammal.0421.1Prt.Up.3","Mammalia","Didelphis virginiana",5141
"MiMammal.0421.1Prt.Up.3","Mammalia","Lynx rufus",13
"MiMammal.0421.2Brn.Dn.1","Actinopteri","Oncorhynchus clarkii",942
"MiMammal.0421.2Brn.Dn.1","Mammalia","Didelphis virginiana",4
"MiMammal.0421.2Brn.Dn.2","Actinopteri","Oncorhynchus clarkii",228
"MiMammal.0421.2Brn.Dn.3","Actinopteri","Oncorhynchus clarkii",1638
"MiMammal.0421.2Brn.Dn.3","Actinopteri","Oncorhynchus kisutch",2984
"MiMammal.0421.2Brn.Up.2","Actinopteri","Oncorhynchus clarkii",70
"MiMammal.0421.2Brn.Up.2","Actinopteri","Oncorhynchus kisutch",55
"MiMammal.0421.2Brn.Up.2","Actinopteri","Oncorhynchus mykiss",236
"MiMammal.0421.2Brn.Up.2","Actinopteri","Perca flavescens",334
"MiMammal.0421.2Brn.Up.2","Aves","Melospiza melodia",430
"MiMammal.0421.2Brn.Up.2","Mammalia","Aplodontia rufa",1072
"MiMammal.0421.2Brn.Up.3","Mammalia","Scapanus orarius",5747
"MiMammal.0421.3Chk.Dn.1","Actinopteri","Oncorhynchus clarkii",1563
"MiMammal.0421.3Chk.Dn.1","Aves","Branta canadensis",1478
"MiMammal.0421.3Chk.Dn.1","Mammalia","Didelphis virginiana",2910
"MiMammal.0421.3Chk.Dn.2","Actinopteri","Oncorhynchus clarkii",2433
"MiMammal.0421.3Chk.Dn.2","Mammalia","Lynx rufus",2193
"MiMammal.0421.3Chk.Dn.3","Actinopteri","Oncorhynchus clarkii",1539
"MiMammal.0421.3Chk.Dn.3","Aves","Melospiza melodia",138
"MiMammal.0421.3Chk.Dn.3","Mammalia","Canis lupus",583
"MiMammal.0421.3Chk.Dn.3","Mammalia","Didelphis virginiana",1206
"MiMammal.0421.3Chk.Up.1","Actinopteri","Oncorhynchus clarkii",1011
"MiMammal.0421.3Chk.Up.1","Mammalia","Didelphis virginiana",16398
"MiMammal.0421.3Chk.Up.1TR2","Actinopteri","Oncorhynchus clarkii",1020
"MiMammal.0421.3Chk.Up.1TR2","Amphibia","Taricha granulosa",1317
"MiMammal.0421.3Chk.Up.1TR2","Mammalia","Didelphis virginiana",17820
"MiMammal.0421.3Chk.Up.1TR2","Mammalia","Lynx rufus",2172
"MiMammal.0421.3Chk.Up.1TR3","Actinopteri","Oncorhynchus clarkii",2127
"MiMammal.0421.3Chk.Up.1TR3","Mammalia","Didelphis virginiana",10546
"MiMammal.0421.3Chk.Up.2","Actinopteri","Oncorhynchus clarkii",7643
"MiMammal.0421.3Chk.Up.2","Aves","Regulus satrapa",242
"MiMammal.0421.3Chk.Up.2","Mammalia","Didelphis virginiana",11853
"MiMammal.0421.3Chk.Up.3","Actinopteri","Oncorhynchus clarkii",428
"MiMammal.0421.3Chk.Up.3","Actinopteri","Oncorhynchus mykiss",86
"MiMammal.0421.3Chk.Up.3","Aves","Melospiza melodia",151
"MiMammal.0421.3Chk.Up.3","Mammalia","Didelphis virginiana",298
"MiMammal.0421.4Pad.Dn.1","Actinopteri","Oncorhynchus clarkii",826
"MiMammal.0421.4Pad.Dn.1","Actinopteri","Oncorhynchus kisutch",135
"MiMammal.0421.4Pad.Dn.1","Actinopteri","Oncorhynchus mykiss",648
"MiMammal.0421.4Pad.Dn.1","Actinopteri","Perca flavescens",1873
"MiMammal.0421.4Pad.Dn.1","Mammalia","Canis lupus",3752
"MiMammal.0421.4Pad.Dn.2","Actinopteri","Oncorhynchus clarkii",1380
"MiMammal.0421.4Pad.Dn.2","Actinopteri","Oncorhynchus kisutch",930
"MiMammal.0421.4Pad.Dn.2","Actinopteri","Oncorhynchus mykiss",3574
"MiMammal.0421.4Pad.Dn.2","Actinopteri","Perca flavescens",5400
"MiMammal.0421.4Pad.Dn.2","Aves","Melospiza melodia",8542
"MiMammal.0421.4Pad.Dn.3","Actinopteri","Oncorhynchus clarkii",390
"MiMammal.0421.4Pad.Dn.3","Actinopteri","Oncorhynchus kisutch",255
"MiMammal.0421.4Pad.Dn.3","Actinopteri","Oncorhynchus mykiss",353
"MiMammal.0421.4Pad.Dn.3","Actinopteri","Perca flavescens",962
"MiMammal.0421.4Pad.Up11.1","Actinopteri","Oncorhynchus kisutch",15
"MiMammal.0421.4Pad.Up11.1","Actinopteri","Oncorhynchus mykiss",2583
"MiMammal.0421.4Pad.Up11.1","Actinopteri","Perca flavescens",819
"MiMammal.0421.4Pad.Up11.2","Actinopteri","Oncorhynchus clarkii",3644
"MiMammal.0421.4Pad.Up11.2","Actinopteri","Oncorhynchus mykiss",7183
"MiMammal.0421.4Pad.Up11.2","Actinopteri","Perca flavescens",10846
"MiMammal.0421.4Pad.Up11.3","Actinopteri","Micropterus salmoides",10
"MiMammal.0421.4Pad.Up11.3","Actinopteri","Oncorhynchus clarkii",1626
