"","Sample_name","species","tot"
"126","MiMammal.0421.1Prt.Dn.1","Melospiza melodia",94
"127","MiMammal.0421.1Prt.Dn.1","Oncorhynchus clarkii",995
"128","MiMammal.0421.1Prt.Dn.1","Oncorhynchus kisutch",862
"129","MiMammal.0421.1Prt.Dn.2","Aix sponsa",13
"130","MiMammal.0421.1Prt.Dn.2","Didelphis virginiana",2004
"131","MiMammal.0421.1Prt.Dn.2","Lampetra sp. CBM:ZF:17561",55
"132","MiMammal.0421.1Prt.Dn.2","Lynx rufus",14
"133","MiMammal.0421.1Prt.Dn.2","Oncorhynchus clarkii",867
"134","MiMammal.0421.1Prt.Dn.2","Oncorhynchus kisutch",1209
"135","MiMammal.0421.1Prt.Dn.2","Tachycineta thalassina",41
"136","MiMammal.0421.1Prt.Dn.3","Aix sponsa",264
"137","MiMammal.0421.1Prt.Dn.3","Didelphis virginiana",13663
"138","MiMammal.0421.1Prt.Dn.3","Lampetra sp. CBM:ZF:17561",519
"139","MiMammal.0421.1Prt.Dn.3","Oncorhynchus clarkii",5172
"140","MiMammal.0421.1Prt.Dn.3","Oncorhynchus kisutch",4322
"141","MiMammal.0421.1Prt.Up.1","Didelphis virginiana",12063
"142","MiMammal.0421.1Prt.Up.1","Lampetra sp. CBM:ZF:17561",20
"143","MiMammal.0421.1Prt.Up.1","Oncorhynchus clarkii",6284
"144","MiMammal.0421.1Prt.Up.1","Oncorhynchus kisutch",6554
"145","MiMammal.0421.1Prt.Up.2","Aix sponsa",118
"146","MiMammal.0421.1Prt.Up.2","Didelphis virginiana",12079
"147","MiMammal.0421.1Prt.Up.2","Haemorhous mexicanus",2689
"148","MiMammal.0421.1Prt.Up.2","Lampetra sp. CBM:ZF:17561",60
"149","MiMammal.0421.1Prt.Up.2","Oncorhynchus clarkii",8569
"150","MiMammal.0421.1Prt.Up.2","Oncorhynchus kisutch",3584
"151","MiMammal.0421.1Prt.Up.3","Aix sponsa",342
"152","MiMammal.0421.1Prt.Up.3","Didelphis virginiana",5141
"153","MiMammal.0421.1Prt.Up.3","Lampetra sp. CBM:ZF:17561",582
"154","MiMammal.0421.1Prt.Up.3","Lynx rufus",13
"155","MiMammal.0421.1Prt.Up.3","Oncorhynchus clarkii",1487
"156","MiMammal.0421.1Prt.Up.3","Oncorhynchus kisutch",1264
"157","MiMammal.0421.2Brn.Dn.1","Didelphis virginiana",4
"158","MiMammal.0421.2Brn.Dn.1","Oncorhynchus clarkii",942
"159","MiMammal.0421.2Brn.Dn.2","Oncorhynchus clarkii",228
"160","MiMammal.0421.2Brn.Dn.3","Oncorhynchus clarkii",1638
"161","MiMammal.0421.2Brn.Dn.3","Oncorhynchus kisutch",2984
"162","MiMammal.0421.2Brn.Up.2","Aplodontia rufa",1072
"163","MiMammal.0421.2Brn.Up.2","Melospiza melodia",430
"164","MiMammal.0421.2Brn.Up.2","Oncorhynchus clarkii",70
"165","MiMammal.0421.2Brn.Up.2","Oncorhynchus kisutch",55
"166","MiMammal.0421.2Brn.Up.2","Oncorhynchus mykiss",236
"167","MiMammal.0421.2Brn.Up.2","Perca flavescens",334
"168","MiMammal.0421.2Brn.Up.3","Scapanus orarius",5747
"169","MiMammal.0421.3Chk.Dn.1","Branta canadensis",2534
"170","MiMammal.0421.3Chk.Dn.1","Didelphis virginiana",5072
"171","MiMammal.0421.3Chk.Dn.1","Oncorhynchus clarkii",2426
"172","MiMammal.0421.3Chk.Dn.2","Lynx rufus",3621
"173","MiMammal.0421.3Chk.Dn.2","Oncorhynchus clarkii",3987
"174","MiMammal.0421.3Chk.Dn.3","Canis lupus",583
"175","MiMammal.0421.3Chk.Dn.3","Didelphis virginiana",1206
"176","MiMammal.0421.3Chk.Dn.3","Melospiza melodia",138
"177","MiMammal.0421.3Chk.Dn.3","Oncorhynchus clarkii",1539
"178","MiMammal.0421.3Chk.Up.1","Didelphis virginiana",29809
"179","MiMammal.0421.3Chk.Up.1","Oncorhynchus clarkii",1606
"180","MiMammal.0421.3Chk.Up.1TR2","Didelphis virginiana",32495
"181","MiMammal.0421.3Chk.Up.1TR2","Lynx rufus",3719
"182","MiMammal.0421.3Chk.Up.1TR2","Oncorhynchus clarkii",1655
"183","MiMammal.0421.3Chk.Up.1TR2","Taricha granulosa",2089
"184","MiMammal.0421.3Chk.Up.1TR3","Didelphis virginiana",19134
"185","MiMammal.0421.3Chk.Up.1TR3","Oncorhynchus clarkii",3434
"186","MiMammal.0421.3Chk.Up.2","Didelphis virginiana",11853
"187","MiMammal.0421.3Chk.Up.2","Oncorhynchus clarkii",7643
"188","MiMammal.0421.3Chk.Up.2","Regulus satrapa",242
"189","MiMammal.0421.3Chk.Up.3","Didelphis virginiana",298
"190","MiMammal.0421.3Chk.Up.3","Melospiza melodia",151
"191","MiMammal.0421.3Chk.Up.3","Oncorhynchus clarkii",428
"192","MiMammal.0421.3Chk.Up.3","Oncorhynchus mykiss",86
"193","MiMammal.0421.4Pad.Dn.1","Canis lupus",3752
"194","MiMammal.0421.4Pad.Dn.1","Oncorhynchus clarkii",826
"195","MiMammal.0421.4Pad.Dn.1","Oncorhynchus kisutch",135
"196","MiMammal.0421.4Pad.Dn.1","Oncorhynchus mykiss",648
"197","MiMammal.0421.4Pad.Dn.1","Perca flavescens",1873
"198","MiMammal.0421.4Pad.Dn.2","Melospiza melodia",8542
"199","MiMammal.0421.4Pad.Dn.2","Oncorhynchus clarkii",1380
"200","MiMammal.0421.4Pad.Dn.2","Oncorhynchus kisutch",930
"201","MiMammal.0421.4Pad.Dn.2","Oncorhynchus mykiss",3574
"202","MiMammal.0421.4Pad.Dn.2","Perca flavescens",5400
"203","MiMammal.0421.4Pad.Dn.3","Oncorhynchus clarkii",390
"204","MiMammal.0421.4Pad.Dn.3","Oncorhynchus kisutch",255
"205","MiMammal.0421.4Pad.Dn.3","Oncorhynchus mykiss",353
"206","MiMammal.0421.4Pad.Dn.3","Perca flavescens",962
"207","MiMammal.0421.4Pad.Up11.1","Oncorhynchus kisutch",15
"208","MiMammal.0421.4Pad.Up11.1","Oncorhynchus mykiss",2583
"209","MiMammal.0421.4Pad.Up11.1","Perca flavescens",819
"210","MiMammal.0421.4Pad.Up11.2","Oncorhynchus clarkii",3644
"211","MiMammal.0421.4Pad.Up11.2","Oncorhynchus mykiss",7183
"212","MiMammal.0421.4Pad.Up11.2","Perca flavescens",10846
"213","MiMammal.0421.4Pad.Up11.3","Melospiza melodia",749
"214","MiMammal.0421.4Pad.Up11.3","Micropterus salmoides",10
"215","MiMammal.0421.4Pad.Up11.3","Oncorhynchus clarkii",1626
"216","MiMammal.0421.4Pad.Up11.3","Oncorhynchus kisutch",77
"217","MiMammal.0421.4Pad.Up11.3","Oncorhynchus mykiss",1774
"218","MiMammal.0421.4Pad.Up11.3","Perca flavescens",2693
"219","MiMammal.0421.4Pad.Up5.1","Canis lupus",24412
"220","MiMammal.0421.4Pad.Up5.1","Oncorhynchus clarkii",309
"221","MiMammal.0421.4Pad.Up5.1","Oncorhynchus mykiss",153
"222","MiMammal.0421.4Pad.Up5.1","Perca flavescens",7777
"223","MiMammal.0421.4Pad.Up5.2","Canis lupus",7158
"224","MiMammal.0421.4Pad.Up5.2","Neurotrichus gibbsii",85771
"225","MiMammal.0421.4Pad.Up5.2","Oncorhynchus clarkii",1840
"226","MiMammal.0421.4Pad.Up5.2","Oncorhynchus mykiss",336
"227","MiMammal.0421.4Pad.Up5.2","Perca flavescens",7901
"228","MiMammal.0421.4Pad.Up5.2","Tachycineta bicolor",4205
"229","MiMammal.0421.4Pad.Up5.3","Oncorhynchus clarkii",148
"230","MiMammal.0421.4Pad.Up5.3","Oncorhynchus mykiss",270
"231","MiMammal.0421.4Pad.Up5.3","Perca flavescens",2086
"232","MiMammal.0421.5Sqm.Dn.1","Ameiurus nebulosus",343
"233","MiMammal.0421.5Sqm.Dn.1","Branta canadensis",98
"234","MiMammal.0421.5Sqm.Dn.1","Canis lupus",208
"235","MiMammal.0421.5Sqm.Dn.1","Didelphis virginiana",409
"236","MiMammal.0421.5Sqm.Dn.1","Meleagris gallopavo",55
"237","MiMammal.0421.5Sqm.Dn.1","Melospiza melodia",197
"238","MiMammal.0421.5Sqm.Dn.1","Neurotrichus gibbsii",485
"239","MiMammal.0421.5Sqm.Dn.1","Oncorhynchus clarkii",404
"240","MiMammal.0421.5Sqm.Dn.1","Oncorhynchus kisutch",23
"241","MiMammal.0421.5Sqm.Dn.1","Pimephales promelas",198
"242","MiMammal.0421.5Sqm.Dn.2","Ameiurus nebulosus",1311
"243","MiMammal.0421.5Sqm.Dn.2","Branta canadensis",124
"244","MiMammal.0421.5Sqm.Dn.2","Oncorhynchus clarkii",868
"245","MiMammal.0421.5Sqm.Dn.2","Oncorhynchus kisutch",17
