"","Sample_name","species","tot"
"250","MiFish.0421.5Sqm.Up.1","",111
"251","MiFish.0421.5Sqm.Up.1","Ameiurus nebulosus",823
"252","MiFish.0421.5Sqm.Up.1","Lampetra sp. CBM:ZF:17561",148
"253","MiFish.0421.5Sqm.Up.1","Oncorhynchus clarkii",12271
"254","MiFish.0421.5Sqm.Up.1","Oncorhynchus kisutch",743
"255","MiFish.0421.5Sqm.Up.1","Oncorhynchus mykiss",439
"256","MiFish.0421.5Sqm.Up.1","Pimephales promelas",13761
"257","MiFish.0421.5Sqm.Up.1","Turdus migratorius",38
"258","MiFish.0421.5Sqm.Up.2","",516
"259","MiFish.0421.5Sqm.Up.2","Ameiurus nebulosus",5565
"260","MiFish.0421.5Sqm.Up.2","Lampetra sp. CBM:ZF:17561",1244
"261","MiFish.0421.5Sqm.Up.2","Oncorhynchus clarkii",64261
"262","MiFish.0421.5Sqm.Up.2","Oncorhynchus kisutch",2808
"263","MiFish.0421.5Sqm.Up.2","Oncorhynchus mykiss",5102
"264","MiFish.0421.5Sqm.Up.2","Pimephales promelas",65793
"265","MiFish.0421.5Sqm.Up.3","",66
"266","MiFish.0421.5Sqm.Up.3","Ameiurus nebulosus",1575
"267","MiFish.0421.5Sqm.Up.3","Lampetra sp. CBM:ZF:17561",677
"268","MiFish.0421.5Sqm.Up.3","Oncorhynchus clarkii",65174
"269","MiFish.0421.5Sqm.Up.3","Oncorhynchus kisutch",7593
"270","MiFish.0421.5Sqm.Up.3","Oncorhynchus mykiss",2482
"271","MiFish.0421.5Sqm.Up.3","Pimephales promelas",62664
"272","MiFish.0421.5Sqm.Up.3","Salmo trutta",471
"273","MiFish.0421.5Sqm.Up.3","Turdus migratorius",45
"274","MiFish.0521.1Prt.Dn.2","",293
"275","MiFish.0521.1Prt.Dn.2","Lampetra sp. CBM:ZF:17561",10902
"276","MiFish.0521.1Prt.Dn.2","Oncorhynchus clarkii",14824
"277","MiFish.0521.1Prt.Dn.2","Oncorhynchus kisutch",6623
"278","MiFish.0521.1Prt.Dn.2","Turdus migratorius",389
"279","MiFish.0521.1Prt.Dn.3","",211
"280","MiFish.0521.1Prt.Dn.3","Lampetra sp. CBM:ZF:17561",32328
"281","MiFish.0521.1Prt.Dn.3","Oncorhynchus clarkii",28997
"282","MiFish.0521.1Prt.Dn.3","Oncorhynchus kisutch",8896
"283","MiFish.0521.1Prt.Dn.3","Perca flavescens",6
"284","MiFish.0521.1Prt.Up.3","Lampetra sp. CBM:ZF:17561",11003
"285","MiFish.0521.1Prt.Up.3","Oncorhynchus clarkii",13960
"286","MiFish.0521.1Prt.Up.3","Oncorhynchus kisutch",7471
"287","MiFish.0521.2Brn.Dn.2","Oncorhynchus clarkii",13759
"288","MiFish.0521.2Brn.Dn.2","Oncorhynchus kisutch",21024
"289","MiFish.0521.3Chk.Up.2","Oncorhynchus clarkii",37532
"290","MiFish.0521.5Sqm.Dn.3","Lampetra sp. CBM:ZF:17561",3117
"291","MiFish.0521.5Sqm.Dn.3","Oncorhynchus clarkii",23506
"292","MiFish.0521.5Sqm.Dn.3","Oncorhynchus kisutch",10562
"293","MiFish.0521.5Sqm.Dn.3","Oncorhynchus mykiss",780
"294","MiFish.0521.5Sqm.Dn.3","Pimephales promelas",866
"295","MiFish.0621.1Prt.Dn.1","Lampetra sp. CBM:ZF:17561",7780
"296","MiFish.0621.1Prt.Dn.1","Oncorhynchus clarkii",15887
"297","MiFish.0621.1Prt.Dn.1","Oncorhynchus kisutch",6040
"298","MiFish.0621.2Brn.Dn.1","Oncorhynchus clarkii",16450
"299","MiFish.0621.2Brn.Dn.1","Oncorhynchus kisutch",17342
"300","MiFish.0621.2Brn.Dn.2","Lampetra sp. CBM:ZF:17561",27
"301","MiFish.0621.2Brn.Dn.2","Oncorhynchus clarkii",18865
"302","MiFish.0621.2Brn.Dn.2","Oncorhynchus kisutch",14449
"303","MiFish.0621.2Brn.Up.1","",89
"304","MiFish.0621.3Chk.Dn.1","Oncorhynchus clarkii",32767
"305","MiFish.0621.3Chk.Dn.1","Oncorhynchus mykiss",1038
"306","MiFish.0621.3Chk.Dn.1","Turdus migratorius",45
"307","MiFish.0621.3Chk.Dn.2","Oncorhynchus clarkii",36295
"308","MiFish.0621.3Chk.Dn.2","Oncorhynchus mykiss",3293
"309","MiFish.0621.3Chk.Dn.2","Perca flavescens",11
"310","MiFish.0621.3Chk.Dn.2","Turdus migratorius",17
"311","MiFish.0621.3Chk.Up.3","",15
"312","MiFish.0621.3Chk.Up.3","Oncorhynchus clarkii",39758
"313","MiFish.0621.3Chk.Up.3","Oncorhynchus mykiss",77
"314","MiFish.0621.3Chk.Up.3","Turdus migratorius",167
"315","MiFish.0621.4Pad.Dn.1","",8762
"316","MiFish.0621.4Pad.Dn.1","Gasterosteus aculeatus",1849
"317","MiFish.0621.4Pad.Dn.1","Oncorhynchus clarkii",1859
"318","MiFish.0621.4Pad.Dn.1","Oncorhynchus kisutch",22989
"319","MiFish.0621.4Pad.Dn.1","Oncorhynchus mykiss",8239
"320","MiFish.0621.4Pad.Dn.2","",217
"321","MiFish.0621.4Pad.Dn.2","Gasterosteus aculeatus",61
"322","MiFish.0621.4Pad.Dn.2","Oncorhynchus clarkii",47
"323","MiFish.0621.4Pad.Dn.2","Oncorhynchus kisutch",473
"324","MiFish.0621.4Pad.Dn.2","Oncorhynchus mykiss",209
"325","MiFish.0621.4Pad.Dn.3","",6716
"326","MiFish.0621.4Pad.Dn.3","Gasterosteus aculeatus",1699
"327","MiFish.0621.4Pad.Dn.3","Oncorhynchus clarkii",1171
"328","MiFish.0621.4Pad.Dn.3","Oncorhynchus kisutch",17329
"329","MiFish.0621.4Pad.Dn.3","Oncorhynchus mykiss",6844
"330","MiFish.0621.4Pad.Up5.1","",11810
"331","MiFish.0621.4Pad.Up5.1","Oncorhynchus kisutch",26474
"332","MiFish.0621.4Pad.Up5.1","Perca flavescens",1045
"333","MiFish.0621.4Pad.Up5.1","Turdus migratorius",135
"334","MiFish.0621.4Pad.Up5.2","",41
"335","MiFish.0621.4Pad.Up5.2","Oncorhynchus kisutch",1262
"336","MiFish.0621.4Pad.Up5.2","Turdus migratorius",31
"337","MiFish.0621.4Pad.Up5.3","",5469
"338","MiFish.0621.4Pad.Up5.3","Oncorhynchus kisutch",19176
"339","MiFish.0621.4Pad.Up5.3","Perca flavescens",654
"340","MiFish.0621.4Pad.Up5.3","Sus scrofa",45
"341","MiFish.0621.4Pad.Up5.3","Turdus migratorius",1897
"342","MiFish.0621.5Sqm.Dn.2","Ameiurus nebulosus",1396
"343","MiFish.0621.5Sqm.Dn.2","Lampetra sp. CBM:ZF:17561",3808
"344","MiFish.0621.5Sqm.Dn.2","Melospiza melodia",23
"345","MiFish.0621.5Sqm.Dn.2","Oncorhynchus clarkii",23839
"346","MiFish.0621.5Sqm.Dn.2","Oncorhynchus kisutch",5703
"347","MiFish.0621.5Sqm.Dn.2","Turdus migratorius",246
"348","MiFish.0621.5Sqm.Up.1","Lampetra sp. CBM:ZF:17561",953
"349","MiFish.0621.5Sqm.Up.1","Oncorhynchus clarkii",19777
"350","MiFish.0621.5Sqm.Up.1","Oncorhynchus kisutch",5061
"351","MiFish.0721.1Prt.Up.2","",21
"352","MiFish.0721.1Prt.Up.2","Didelphis virginiana",386
"353","MiFish.0721.1Prt.Up.2","Lampetra sp. CBM:ZF:17561",10983
"354","MiFish.0721.1Prt.Up.2","Oncorhynchus clarkii",35701
"355","MiFish.0721.1Prt.Up.2","Oncorhynchus kisutch",13027
"356","MiFish.0721.2Brn.Dn.2","Oncorhynchus clarkii",36398
"357","MiFish.0721.2Brn.Dn.2","Oncorhynchus kisutch",11916
"358","MiFish.0721.3Chk.Up.1","Didelphis virginiana",48
"359","MiFish.0721.3Chk.Up.1","Oncorhynchus clarkii",38178
"360","MiFish.0721.3Chk.Up.1","Oncorhynchus mykiss",528
"361","MiFish.0721.3Chk.Up.2","",14
"362","MiFish.0721.3Chk.Up.2","Didelphis virginiana",132
"363","MiFish.0721.3Chk.Up.2","Oncorhynchus clarkii",29624
"364","MiFish.0721.3Chk.Up.2","Oncorhynchus mykiss",452
"365","MiFish.0721.3Chk.Up.2","Turdus migratorius",29
"366","MiFish.0721.4Pad.Up11.3","",2677
"367","MiFish.0721.4Pad.Up11.3","Melospiza melodia",10
"368","MiFish.0721.4Pad.Up11.3","Oncorhynchus clarkii",4775
"369","MiFish.0721.4Pad.Up11.3","Oncorhynchus kisutch",4318
"370","MiFish.0721.4Pad.Up11.3","Oncorhynchus mykiss",19978
"371","MiFish.0721.4Pad.Up11.3","Perca flavescens",234
"372","MiFish.0721.5Sqm.Dn.3","Lampetra sp. CBM:ZF:17561",10
"373","MiFish.0721.5Sqm.Dn.3","Oncorhynchus clarkii",31179
"374","MiFish.0721.5Sqm.Dn.3","Oncorhynchus kisutch",9010
"375","MiFish.0721.5Sqm.Dn.3","Turdus migratorius",13
"376","MiFish.0721.5Sqm.Up.2","",38
"377","MiFish.0721.5Sqm.Up.2","Lampetra sp. CBM:ZF:17561",3319
"378","MiFish.0721.5Sqm.Up.2","Oncorhynchus clarkii",23453
"379","MiFish.0721.5Sqm.Up.2","Oncorhynchus kisutch",10459
"380","MiFish.0721.5Sqm.Up.2","Turdus migratorius",2453
"381","MiFish.0821.1Prt.Dn.1","",5
"382","MiFish.0821.1Prt.Dn.1","Lampetra sp. CBM:ZF:17561",3236
"383","MiFish.0821.1Prt.Dn.1","Oncorhynchus clarkii",18132
"384","MiFish.0821.1Prt.Dn.1","Oncorhynchus kisutch",5289
"385","MiFish.0821.1Prt.Dn.1","Oncorhynchus nerka",88
"386","MiFish.0821.1Prt.Dn.1","Turdus migratorius",41
"387","MiFish.0821.1Prt.Dn.2","",8
"388","MiFish.0821.1Prt.Dn.2","Lampetra sp. CBM:ZF:17561",5148
"389","MiFish.0821.1Prt.Dn.2","Oncorhynchus clarkii",14682
"390","MiFish.0821.1Prt.Dn.2","Oncorhynchus kisutch",5765
"391","MiFish.0821.1Prt.Dn.3","",146
"392","MiFish.0821.1Prt.Dn.3","Lampetra sp. CBM:ZF:17561",12732
"393","MiFish.0821.1Prt.Dn.3","Oncorhynchus clarkii",75416
"394","MiFish.0821.1Prt.Dn.3","Oncorhynchus kisutch",42718
"395","MiFish.0821.1Prt.Dn.3","Turdus migratorius",161
"396","MiFish.0821.1Prt.Up.1","",101
"397","MiFish.0821.1Prt.Up.1","Lampetra sp. CBM:ZF:17561",1126
"398","MiFish.0821.1Prt.Up.1","Oncorhynchus clarkii",3636
"399","MiFish.0821.1Prt.Up.1","Oncorhynchus kisutch",1162
"400","MiFish.0821.1Prt.Up.1","Turdus migratorius",265
