"Sample_name","class","species","tot"
"MiFish.0421.3Chk.Dn.3","Aves","Turdus migratorius",14
"MiFish.0421.3Chk.Dn.3TR2","Actinopteri","Oncorhynchus clarkii",22611
"MiFish.0421.3Chk.Dn.3TR2","Aves","Turdus migratorius",591
"MiFish.0421.3Chk.Dn.3TR3","Actinopteri","Oncorhynchus clarkii",16698
"MiFish.0421.3Chk.Dn.3TR3","Aves","Turdus migratorius",295
"MiFish.0421.3Chk.Up.1","Actinopteri","Oncorhynchus clarkii",108602
"MiFish.0421.3Chk.Up.1","Mammalia","Didelphis virginiana",6
"MiFish.0421.3Chk.Up.2","Actinopteri","Oncorhynchus clarkii",22619
"MiFish.0421.3Chk.Up.2","Aves","Turdus migratorius",1775
"MiFish.0421.3Chk.Up.2","Mammalia","Didelphis virginiana",22
"MiFish.0421.3Chk.Up.3","Actinopteri","Oncorhynchus clarkii",22033
"MiFish.0421.4Pad.Dn.1","Actinopteri","Oncorhynchus clarkii",4780
"MiFish.0421.4Pad.Dn.1","Actinopteri","Oncorhynchus kisutch",578
"MiFish.0421.4Pad.Dn.1","Actinopteri","Oncorhynchus mykiss",3060
"MiFish.0421.4Pad.Dn.1","Actinopteri","Perca flavescens",7554
"MiFish.0421.4Pad.Dn.1","Aves","Turdus migratorius",86
"MiFish.0421.4Pad.Dn.2","Actinopteri","Oncorhynchus clarkii",5455
"MiFish.0421.4Pad.Dn.2","Actinopteri","Oncorhynchus keta",122
"MiFish.0421.4Pad.Dn.2","Actinopteri","Oncorhynchus kisutch",3075
"MiFish.0421.4Pad.Dn.2","Actinopteri","Oncorhynchus mykiss",6459
"MiFish.0421.4Pad.Dn.2","Actinopteri","Perca flavescens",5526
"MiFish.0421.4Pad.Dn.2","Aves","Regulus calendula",309
"MiFish.0421.4Pad.Dn.3","Actinopteri","Oncorhynchus clarkii",6400
"MiFish.0421.4Pad.Dn.3","Actinopteri","Oncorhynchus keta",1214
"MiFish.0421.4Pad.Dn.3","Actinopteri","Oncorhynchus kisutch",3366
"MiFish.0421.4Pad.Dn.3","Actinopteri","Oncorhynchus mykiss",6414
"MiFish.0421.4Pad.Dn.3","Actinopteri","Perca flavescens",11346
"MiFish.0421.4Pad.Dn.3","Mammalia","Canis lupus",59
"MiFish.0421.4Pad.Up11.1","Actinopteri","Oncorhynchus clarkii",3267
"MiFish.0421.4Pad.Up11.1","Actinopteri","Oncorhynchus kisutch",494
"MiFish.0421.4Pad.Up11.1","Actinopteri","Oncorhynchus mykiss",9507
"MiFish.0421.4Pad.Up11.1","Actinopteri","Perca flavescens",7039
"MiFish.0421.4Pad.Up11.1","Mammalia","Canis lupus",6
"MiFish.0421.4Pad.Up11.2","Actinopteri","Oncorhynchus clarkii",9135
"MiFish.0421.4Pad.Up11.2","Actinopteri","Oncorhynchus kisutch",1551
"MiFish.0421.4Pad.Up11.2","Actinopteri","Oncorhynchus mykiss",4984
"MiFish.0421.4Pad.Up11.2","Actinopteri","Perca flavescens",30919
"MiFish.0421.4Pad.Up11.2","Aves","Turdus migratorius",2376
"MiFish.0421.4Pad.Up11.3","Actinopteri","Oncorhynchus clarkii",753
"MiFish.0421.4Pad.Up11.3","Actinopteri","Oncorhynchus mykiss",5463
"MiFish.0421.4Pad.Up11.3","Actinopteri","Perca flavescens",5264
"MiFish.0421.4Pad.Up11.3","Aves","Turdus migratorius",62
"MiFish.0421.4Pad.Up5.1","Actinopteri","Oncorhynchus clarkii",5553
"MiFish.0421.4Pad.Up5.1","Actinopteri","Oncorhynchus mykiss",9377
"MiFish.0421.4Pad.Up5.1","Actinopteri","Perca flavescens",45626
"MiFish.0421.4Pad.Up5.1","Mammalia","Canis lupus",47
"MiFish.0421.4Pad.Up5.1","Mammalia","Sus scrofa",225
"MiFish.0421.4Pad.Up5.2","Actinopteri","Oncorhynchus clarkii",11385
"MiFish.0421.4Pad.Up5.2","Actinopteri","Oncorhynchus mykiss",2152
"MiFish.0421.4Pad.Up5.2","Actinopteri","Perca flavescens",53029
"MiFish.0421.4Pad.Up5.2","Mammalia","Canis lupus",7
"MiFish.0421.4Pad.Up5.2","Mammalia","Neurotrichus gibbsii",689
"MiFish.0421.4Pad.Up5.3","Actinopteri","Oncorhynchus clarkii",1894
"MiFish.0421.4Pad.Up5.3","Actinopteri","Oncorhynchus mykiss",7080
"MiFish.0421.4Pad.Up5.3","Actinopteri","Perca flavescens",17965
"MiFish.0421.5Sqm.Dn.1","Actinopteri","Ameiurus nebulosus",2146
"MiFish.0421.5Sqm.Dn.1","Actinopteri","Oncorhynchus clarkii",18386
"MiFish.0421.5Sqm.Dn.1","Actinopteri","Oncorhynchus kisutch",713
"MiFish.0421.5Sqm.Dn.1","Actinopteri","Oncorhynchus mykiss",644
"MiFish.0421.5Sqm.Dn.1","Actinopteri","Pimephales promelas",18629
"MiFish.0421.5Sqm.Dn.1","Aves","Turdus migratorius",75
"MiFish.0421.5Sqm.Dn.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",573
"MiFish.0421.5Sqm.Dn.2","Actinopteri","Ameiurus nebulosus",5543
"MiFish.0421.5Sqm.Dn.2","Actinopteri","Oncorhynchus clarkii",54116
"MiFish.0421.5Sqm.Dn.2","Actinopteri","Oncorhynchus kisutch",5577
"MiFish.0421.5Sqm.Dn.2","Actinopteri","Pimephales promelas",50907
"MiFish.0421.5Sqm.Dn.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",164
"MiFish.0421.5Sqm.Dn.3","Actinopteri","Ameiurus nebulosus",4227
"MiFish.0421.5Sqm.Dn.3","Actinopteri","Oncorhynchus clarkii",41486
"MiFish.0421.5Sqm.Dn.3","Actinopteri","Oncorhynchus kisutch",2698
"MiFish.0421.5Sqm.Dn.3","Actinopteri","Oncorhynchus mykiss",1252
"MiFish.0421.5Sqm.Dn.3","Actinopteri","Pimephales promelas",48495
