"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon"
"82","ed4d221f384763307ec5b4b7abb95902ba038b19","order","Metazoa","Chordata","Aves","Passeriformes",NA,NA,NA,"Passeriformes"
"83","c759355dee9f9aa45a12f5cef4b9c304711eb9d4","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus",NA,"Peromyscus"
"84","68555c3d5ffd7dbdae3901cba5230626de7bf52f","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon"
"85","624fbb8304044ddee6bf9d39c987a978e941e548","family","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae",NA,NA,"Didelphidae"
"86","12a8b6076ba2a5fd7d011d6d6d7abecfa6151b6e","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"Sciuridae"
"87","104a716f69e7d542afdd9f98654efed494b77577","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon"
"88","4f63b98f1deeca6ecac02c2b114d7b693f1f27db","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon"
"89","8666594c9b89581d4555a71005023432e9abe1b2","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",NA,"Microtus"
"90","5d599e4d35d5fbf6e119745d3d0c4ed65fc32b6c","family","Metazoa","Chordata","Aves","Passeriformes","Parulidae",NA,NA,"Parulidae"
"91","139ff38d8eb60547dba8a13573cc4d1939382544","family","Metazoa","Chordata","Aves","Passeriformes","Corvidae",NA,NA,"Corvidae"
"92","3144807e9bbd9e36e21746e94494c6ed39dd47c9","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch"
"93","c5096108c306c4feda0e54dde259d212245b2d5a","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","Oncorhynchus mykiss"
"94","214a1d0e36e3d7f9b03be6482ca4fd524d19125d","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",NA,"Microtus"
"95","615a3f53cc7f27926da4b3e199ea93244ef2f96c","order","Metazoa","Chordata","Aves","Passeriformes",NA,NA,NA,"Passeriformes"
"96","6130d4c9a1f7f972bc42133727753052ac151e8a","order","Metazoa","Chordata","Aves","Passeriformes",NA,NA,NA,"Passeriformes"
"97","b865750f871db450b10863407c4b17d641fe2867","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",NA,"Microtus"
"98","dc3a91a19f65ee0fd854dcf51ed90714a16aac39","species","Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor","Procyon lotor"
"99","dc78ea7000749cdaa33f9199c52df6f0f90be099","family","Metazoa","Chordata","Aves","Passeriformes","Turdidae",NA,NA,"Turdidae"
"100","950bc43a57f34c91ab8b1f0d999f2b0f59b5243c","family","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae",NA,NA,"Didelphidae"
"101","811b89b5b1cd455399aac1f1ce90addaa481ed04","family","Metazoa","Chordata","Aves","Passeriformes","Fringillidae",NA,NA,"Fringillidae"
"102","75e73e13ea568bb911b99e63cc8a634d76007bff","species","Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","Perca flavescens"
"103","158c0f533a8902ffdd64408176c574465e193ce1","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon"
"104","6989436792ba065c4821ebed2d6fc5ea2536c58a","species","Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis latrans","Canis latrans"
"105","0218266dbe9e6aa2986987ac11beb17d14633d45","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"Sciuridae"
"106","ca60bd1722f00958611e90ce9aee7ff86c790a80","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch"
"107","470f7cb5851f4e93e60318bb3ca52cec11afef47","species","Metazoa","Chordata","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis","Castor canadensis"
"108","305b2f394cebb0a84e4f16990126470c3e484534","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon"
