"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon","taxID","score"
"17","b9286e7d00341090882184f5b386f2cd3c61e051","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",NA,"Microtus","consensus","consensus"
"18","ae072da6766540acd369d0e89b6d68fde7866214","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"Cottidae","consensus","consensus"
"19","8828dbea272cc6952163b0c035e1439792fe4507","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"20","298e4a7ba813b8c4aaba63985e35daad007212bb","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch","consensus","consensus"
"21","6162577dad77b615bca5543992542e30cecfbe59","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"22","3c4cd1a5d5fbad21b8acc3f38923dff58f6674ee","family","Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae",NA,NA,"Petromyzontidae","consensus","consensus"
"23","2940667037e96bb494f98b5b0e70ed4e8aafcee1","species","Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","Perca flavescens","consensus","consensus"
"24","23c619d6fffd998ebd33fc4a32feda91287ea49e","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"Sciuridae","consensus","consensus"
"25","c82b00d717919e4086632863f8b9b5ba0a259077","family","Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae",NA,NA,"Petromyzontidae","consensus","consensus"
"26","a483b776e5165a5eaf6672e78ea680aeac6757d3","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch","consensus","consensus"
"27","e256a562220374d61068aad77501e2e1e7b569cc","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","Oncorhynchus mykiss","consensus","consensus"
"28","9e831a2f93daeb2d14b4c4990038bad6b33b4cd0","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"Sciuridae","consensus","consensus"
"29","1c43ca34d28eaafd5a54c1319bada40b64eedf87","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"30","8f3d5fa23f8fd179873c67e93ed98c8e7bcedc3d","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","Oncorhynchus clarkii","consensus","consensus"
"31","74e9db524bb60d56a3a624862eebe009050a9747","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","Oncorhynchus clarkii","consensus","consensus"
"32","e2877b8381733054b6f7c0bb6c396dca9e4f8741","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","Oncorhynchus mykiss","consensus","consensus"
"33","bb1fb9d895c7d7fe5c2d003020fe3d93fc203780","genus","Metazoa","Chordata","Aves","Passeriformes","Turdidae","Turdus",NA,"Turdus","consensus","consensus"
"34","da86e55cb2b03c4f47a877c184e63d907a48bc4e","species","Metazoa","Chordata","Aves","Galliformes","Phasianidae","Gallus","Gallus gallus","Gallus gallus","consensus","consensus"
"35","a6fe0d62e468a8dda26d1d195a1fc7e56ac3ea95","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"Sciuridae","consensus","consensus"
"36","79d008fbddb27b84d9bd018c054dafdf79bf41fd","family","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae",NA,NA,"Didelphidae","consensus","consensus"
"37","7c418641190f04ef854d9017a3e1cde2465e5b8a","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"Sciuridae","consensus","consensus"
"38","ddf5d8f01c176ab003be35dd8935dab512bf36c1","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens","consensus","consensus"
