,MiFish.0321.1Prt.Up.1,MiFish.0321.2Brn.Dn.3,MiFish.0321.3Chk.Dn.1,MiFish.0321.3Chk.Dn.3,MiFish.0321.3Chk.Up.2,MiFish.0321.4Pad.Dn.2,MiFish.0321.4Pad.Dn.3,MiFish.0321.4Pad.Up11.1,MiFish.0321.4Pad.Up11.3,MiFish.0321.4Pad.Up5.1,MiFish.0321.4Pad.Up5.2,MiFish.0321.4Pad.Up5.3,MiFish.0321.5Sqm.Dn.3,MiFish.0321.5Sqm.Up.1,MiFish.0421.1Prt.Dn.1,MiFish.0421.1Prt.Dn.3,MiFish.0421.2Brn.Dn.2,MiFish.0421.2Brn.Dn.3,MiFish.0421.2Brn.Up.2,MiFish.0421.3Chk.Dn.1,MiFish.0421.3Chk.Dn.2,MiFish.0421.3Chk.Up.1,MiFish.0421.4Pad.Up11.2,MiFish.0421.4Pad.Up5.1,MiFish.0421.4Pad.Up5.2,MiFish.0421.5Sqm.Dn.2,MiFish.0421.5Sqm.Dn.3,MiFish.0421.5Sqm.Up.2,MiFish.0421.5Sqm.Up.3,MiFish.0821.1Prt.Dn.2,MiFish.0821.1Prt.Dn.3,MiFish.0821.1Prt.Up.2,MiFish.0821.1Prt.Up.3,MiFish.0821.2Brn.Dn.2,MiFish.0821.2Brn.Up.1,MiFish.0821.2Brn.Up.3,MiFish.0821.3Chk.Up.1,MiFish.0821.4Pad.Dn.1,MiFish.0821.5Sqm.Dn.1,MiFish.0821.2Brn.Dn.2TR2,MiFish.0821.2Brn.Dn.2TR3,MiFish.Kangaroo.Run.2,MiFish.0321.1Prt.Dn.1,MiFish.0321.1Prt.Up.2,MiFish.0321.2Brn.Dn.1,MiFish.0321.2Brn.Up.1,MiFish.0321.2Brn.Up.2,MiFish.0321.2Brn.Up.3,MiFish.0321.4Pad.Dn.1,MiFish.0321.5Sqm.Up.2,MiFish.0321.1Prt.Dn.1TR2,MiFish.0321.1Prt.Dn.1TR3,MiFish.0421.1Prt.Dn.2,MiFish.0421.3Chk.Dn.3,MiFish.0421.4Pad.Dn.1,MiFish.0421.4Pad.Up11.3,MiFish.0421.5Sqm.Up.1,MiFish.0421.3Chk.Dn.3TR2,MiFish.0421.3Chk.Dn.3TR3,MiFish.0821.1Prt.Dn.1,MiFish.0821.1Prt.Up.1,MiFish.0821.2Brn.Up.2,MiFish.0821.3Chk.Dn.2,MiFish.0821.4Pad.Dn.2,MiFish.0821.4Pad.Up11.3,MiFish.0821.4Pad.Up5.3,MiFish.0821.5Sqm.Dn.2,MiFish.Kangaroo.Run.3,MiFish.0321.1Prt.Dn.3,MiFish.0321.1Prt.Up.3,MiFish.0321.2Brn.Dn.2,MiFish.0321.3Chk.Dn.2,MiFish.0321.3Chk.Up.1,MiFish.0321.3Chk.Up.3,MiFish.0321.4Pad.Up11.2,MiFish.0321.5Sqm.Dn.1,MiFish.0321.5Sqm.Dn.2,MiFish.0321.5Sqm.Up.3,MiFish.0421.1Prt.Up.1,MiFish.0421.1Prt.Up.2,MiFish.0421.1Prt.Up.3,MiFish.0421.2Brn.Dn.1,MiFish.0421.2Brn.Up.1,MiFish.0421.3Chk.Up.2,MiFish.0421.3Chk.Up.3,MiFish.0421.4Pad.Dn.2,MiFish.0421.4Pad.Dn.3,MiFish.0421.4Pad.Up11.1,MiFish.0421.4Pad.Up5.3,MiFish.0421.5Sqm.Dn.1,MiFish.0821.2Brn.Dn.1,MiFish.0821.2Brn.Dn.3,MiFish.0821.3Chk.Dn.1,MiFish.0821.3Chk.Dn.3,MiFish.0821.3Chk.Up.2,MiFish.0821.3Chk.Up.3,MiFish.0821.4Pad.Dn.3,MiFish.0821.4Pad.Up11.1,MiFish.0821.4Pad.Up11.2,MiFish.0821.4Pad.Up5.1,MiFish.0821.4Pad.Up5.2,MiFish.0821.5Sqm.Dn.3,MiFish.0821.5Sqm.Up.1,MiFish.0821.5Sqm.Up.2,MiFish.0821.5Sqm.Up.3
Ambystoma;4be671e1ce0da6b1505cf3f3cbe98a49c6d2d7ff,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus;54ede9cb45cc58cb41be2b4cede32f7b3ce71137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neognathae;5d2be06aa1ff742a96eae7b10b30f83e45e7047a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Percoidei;c51ba26786eb5812df3c3d681e5755e302ae36ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sus scrofa;d665a22273eb050425814dad353904c8b09a1f31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus;de26beedf761d580fc97bc18ace14fa56f70ee00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus;b30abeb51bb89f0e7d537abe96123cc870592d7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasterosteus aculeatus;31adf9b0bfe620438b8e730fd474cc27e61c3cc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720,0,0,0,0,0,0,0,0
Sciuridae;23c619d6fffd998ebd33fc4a32feda91287ea49e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carduelinae;9c97beb16679ecb7372370a34b07e5df5923ff76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
